age,female,tenure,education,worker_type,occupation,wage,logwage,promoted
53,0,31,Bachelor's,Blue Collar,Plumber,62078,11.036146937843293,0
41,1,18,High School,White Collar,Accountant,121039,11.70386808669645,0
27,1,4,Some College,White Collar,Analyst,62090,11.036340224358938,0
31,1,9,Bachelor's,White Collar,Accountant,66121,11.099241675837533,1
48,1,26,Bachelor's,Blue Collar,Manufacturing Worker,36554,10.506545898314387,0
31,1,9,High School,White Collar,Accountant,36120,10.494602007530922,0
43,1,18,Some College,Blue Collar,Electrician,39834,10.592476097947214,0
41,0,17,Bachelor's,Blue Collar,Welder,72573,11.192348230814178,0
32,0,6,Bachelor's,Blue Collar,Construction Worker,40105,10.599256293801025,1
65,0,43,Master's,Blue Collar,Manufacturing Worker,85804,11.359820904435994,0
48,0,20,High School,Blue Collar,Electrician,83567,11.333403984301592,1
22,0,0,Master's,Blue Collar,Plumber,100113,11.514054827000788,1
42,0,20,Bachelor's,White Collar,Consultant,61266,11.022980318783594,0
32,0,9,Bachelor's,Blue Collar,Construction Worker,25000,10.126631103850338,0
50,0,20,Bachelor's,Blue Collar,Construction Worker,71685,11.180036799680368,1
30,1,7,Some College,Blue Collar,Construction Worker,77602,11.259348479035063,0
39,1,17,High School,White Collar,Analyst,81819,11.312264769458078,0
46,0,21,Bachelor's,Blue Collar,Welder,73241,11.20151065243636,0
50,1,26,Bachelor's,White Collar,Teacher,127371,11.754859366695326,0
26,1,4,Bachelor's,White Collar,Sales Rep,61890,11.033113894733408,0
36,0,14,Some College,Blue Collar,Electrician,65440,11.088888971276628,0
34,0,9,Master's,White Collar,Consultant,67995,11.127189452043059,1
32,1,5,Bachelor's,Blue Collar,Manufacturing Worker,54967,10.914488284142575,0
61,1,38,High School,White Collar,Sales Rep,82313,11.31828433287873,0
45,1,22,Some College,White Collar,Analyst,33427,10.41711923563258,0
25,0,3,Bachelor's,Blue Collar,Electrician,33021,10.4048990016915,0
51,0,27,Bachelor's,Blue Collar,Construction Worker,81511,11.308493259446568,0
65,0,43,Bachelor's,White Collar,Accountant,85139,11.352040493952584,0
52,0,30,Master's,White Collar,Analyst,111779,11.62427898663946,0
22,0,0,Some College,Blue Collar,Construction Worker,25000,10.126631103850338,0
34,0,12,Some College,White Collar,Programmer,106862,11.57929356141373,1
55,1,32,Master's,White Collar,Engineer,100560,11.518509843264129,1
32,1,9,Master's,White Collar,Sales Rep,111630,11.622945110008779,1
45,0,23,Bachelor's,Blue Collar,Welder,36755,10.512029549808188,1
49,1,25,Master's,White Collar,Manager,41087,10.623447048747229,0
29,0,7,High School,White Collar,Consultant,52534,10.869215858012614,0
39,0,17,Master's,Blue Collar,Construction Worker,40100,10.599131613294661,0
22,0,0,Some College,White Collar,Manager,25000,10.126631103850338,0
28,1,2,High School,White Collar,Teacher,25000,10.126631103850338,0
37,1,15,High School,White Collar,Consultant,38014,10.545709791910783,0
25,1,3,Some College,Blue Collar,Manufacturing Worker,59726,10.997522715461125,0
60,0,38,Some College,White Collar,Sales Rep,55265,10.919895075745055,0
23,1,0,Some College,Blue Collar,Construction Worker,35418,10.474975444468745,1
35,0,13,High School,White Collar,Programmer,77203,11.25419359536146,0
42,1,17,Some College,Blue Collar,Manufacturing Worker,27141,10.20880077869385,0
57,1,35,Bachelor's,White Collar,Accountant,25000,10.126631103850338,0
23,0,0,Some College,White Collar,Consultant,25000,10.126631103850338,0
54,1,32,Some College,Blue Collar,Electrician,63113,11.052682049496653,0
40,1,18,Bachelor's,White Collar,Consultant,55315,10.920799398469011,0
28,0,4,Master's,White Collar,Programmer,112690,11.632395964946395,0
46,1,24,Bachelor's,Blue Collar,Manufacturing Worker,82005,11.31453549999721,0
42,0,20,Some College,White Collar,Accountant,49537,10.810475144084139,1
33,1,4,Bachelor's,White Collar,Teacher,51490,10.849142893040186,0
41,1,19,High School,Blue Collar,Manufacturing Worker,25000,10.126631103850338,1
35,1,6,High School,Blue Collar,Manufacturing Worker,40266,10.603262719386294,0
41,1,16,Some College,Blue Collar,Manufacturing Worker,62548,11.0436895409634,1
48,1,26,Master's,Blue Collar,Manufacturing Worker,25461,10.144903148637786,1
59,0,35,High School,White Collar,Programmer,45446,10.724280086931744,0
25,1,0,High School,Blue Collar,Manufacturing Worker,25000,10.126631103850338,0
65,0,42,High School,White Collar,Programmer,49829,10.816352422842092,1
22,0,0,Master's,White Collar,Accountant,59916,11.00069886028861,1
38,0,11,Bachelor's,Blue Collar,Electrician,59080,10.986647736645317,0
47,0,22,Some College,White Collar,Programmer,55971,10.932588978440108,1
43,1,21,Bachelor's,White Collar,Teacher,36648,10.509114135566579,0
33,0,11,Bachelor's,White Collar,Teacher,48968,10.798922302530906,0
38,1,16,Bachelor's,Blue Collar,Manufacturing Worker,38447,10.557035948482783,0
34,0,8,High School,Blue Collar,Mechanic,25000,10.126631103850338,0
33,0,11,Master's,White Collar,Programmer,107616,11.586324614539997,1
50,1,28,Some College,White Collar,Sales Rep,92223,11.431964836135938,0
44,0,22,Bachelor's,White Collar,Manager,27214,10.211486825750804,0
32,0,8,High School,White Collar,Manager,89453,11.401468626664016,1
51,1,29,Some College,Blue Collar,Manufacturing Worker,25000,10.126631103850338,0
44,0,22,Some College,White Collar,Manager,104545,11.557372879705524,0
50,1,28,Bachelor's,Blue Collar,Mechanic,45938,10.7350479402497,0
48,0,26,High School,Blue Collar,Construction Worker,25000,10.126631103850338,0
30,0,8,Bachelor's,White Collar,Accountant,74758,11.222011508937708,0
33,1,8,High School,Blue Collar,Manufacturing Worker,30421,10.32288843838277,0
49,0,27,Bachelor's,White Collar,Analyst,71080,11.171561282268588,0
47,0,25,Master's,White Collar,Consultant,83030,11.326957267256077,0
40,0,18,Bachelor's,Blue Collar,Electrician,67974,11.126880558101544,0
41,0,19,Bachelor's,White Collar,Programmer,56186,10.936422894528368,1
55,1,30,Bachelor's,White Collar,Consultant,86147,11.363810418366572,1
33,0,11,Some College,White Collar,Analyst,70878,11.168715368176574,0
47,1,23,Master's,Blue Collar,Manufacturing Worker,77974,11.264130716770492,0
38,1,11,Some College,Blue Collar,Plumber,53544,10.888259024780478,0
37,0,15,Bachelor's,White Collar,Programmer,74070,11.212765871007335,1
53,1,31,Bachelor's,Blue Collar,Electrician,68174,11.129818539472732,1
50,0,22,Some College,Blue Collar,Construction Worker,25000,10.126631103850338,0
50,1,28,Some College,White Collar,Programmer,45930,10.734873777319839,0
56,0,34,Bachelor's,Blue Collar,Construction Worker,25000,10.126631103850338,1
40,1,18,Master's,White Collar,Sales Rep,92459,11.434520581995951,1
48,0,26,Master's,Blue Collar,Welder,61632,11.028936495157797,0
36,0,10,Bachelor's,White Collar,Engineer,98793,11.500782031023537,1
44,1,22,Bachelor's,White Collar,Consultant,90432,11.4123534660442,0
38,1,14,Master's,Blue Collar,Manufacturing Worker,73611,11.206549750071193,0
41,0,12,High School,Blue Collar,Welder,25000,10.126631103850338,0
47,0,25,High School,White Collar,Engineer,48428,10.787833437827631,1
30,1,8,Bachelor's,White Collar,Programmer,30940,10.339805124127057,1
65,1,43,Master's,White Collar,Manager,39748,10.590314804351253,0
28,1,6,Master's,Blue Collar,Electrician,61492,11.02666236403249,0
25,1,3,Some College,Blue Collar,Construction Worker,69352,11.146950264548476,0
54,1,32,High School,White Collar,Teacher,45603,10.727728782812129,1
49,1,27,Some College,White Collar,Analyst,56206,10.936778791749008,0
47,0,24,High School,White Collar,Consultant,34198,10.439922441808537,0
48,0,26,Some College,White Collar,Engineer,51422,10.847821375434926,1
40,1,18,Bachelor's,White Collar,Accountant,58981,10.984970637125501,1
29,1,7,High School,White Collar,Analyst,56407,10.940348543259887,0
41,0,15,Master's,Blue Collar,Welder,34240,10.441149830255679,0
32,0,10,Some College,White Collar,Manager,69363,11.147108863114212,0
52,1,28,Bachelor's,White Collar,Analyst,73214,11.201141938492748,1
38,1,14,High School,Blue Collar,Manufacturing Worker,54537,10.906634649386172,1
30,0,6,Some College,White Collar,Teacher,66372,11.103030559782677,1
36,0,11,High School,White Collar,Engineer,25000,10.126631103850338,1
45,0,23,PhD,White Collar,Accountant,104080,11.552915113186387,0
33,0,11,Master's,White Collar,Programmer,75735,11.234995683961126,0
30,0,8,Bachelor's,White Collar,Consultant,26153,10.171719185666264,0
43,0,17,High School,Blue Collar,Electrician,28393,10.253897914895148,0
43,1,21,Master's,White Collar,Manager,156844,11.96300695977909,0
34,0,8,Some College,White Collar,Consultant,74658,11.220672964003686,0
34,1,10,High School,White Collar,Engineer,101967,11.532404510507712,1
43,1,18,Bachelor's,Blue Collar,Electrician,61850,11.032467377820634,0
23,0,1,Master's,Blue Collar,Construction Worker,45506,10.725599464377073,0
23,1,0,High School,White Collar,Teacher,25000,10.126631103850338,0
31,0,9,High School,White Collar,Analyst,61577,11.028043703175827,0
37,1,15,Master's,White Collar,Consultant,101848,11.53123678474148,0
44,0,22,High School,White Collar,Manager,37072,10.520617246672158,0
58,1,32,High School,White Collar,Accountant,25000,10.126631103850338,0
50,1,28,Bachelor's,White Collar,Engineer,154108,11.94540893430204,1
38,0,16,Master's,White Collar,Consultant,97065,11.483136136159477,1
40,0,15,Bachelor's,Blue Collar,Welder,48005,10.779060451131723,0
28,1,6,PhD,White Collar,Teacher,92386,11.43373073099868,1
40,1,18,Bachelor's,White Collar,Teacher,48107,10.781182975650898,0
37,0,14,High School,Blue Collar,Welder,43550,10.68166498228065,0
44,1,20,PhD,Blue Collar,Construction Worker,116545,11.66603274350077,0
30,0,6,Some College,Blue Collar,Electrician,39452,10.582840022073885,0
46,1,24,Some College,White Collar,Accountant,25000,10.126631103850338,1
58,0,36,Bachelor's,Blue Collar,Plumber,33538,10.420434403307056,0
39,1,17,Some College,White Collar,Manager,50507,10.829867219518825,1
45,0,21,High School,White Collar,Programmer,110086,11.609017157495737,0
48,0,24,High School,White Collar,Teacher,60062,11.003132641016187,1
35,0,13,Some College,White Collar,Manager,70219,11.159374208664028,0
43,0,17,Master's,Blue Collar,Plumber,42745,10.663007508460334,0
40,1,17,Bachelor's,White Collar,Teacher,31393,10.354340217107467,0
41,0,19,PhD,White Collar,Manager,105701,11.568369632551514,0
31,1,9,Some College,White Collar,Accountant,52278,10.864330911459342,0
40,0,17,Some College,Blue Collar,Welder,43330,10.676600514733956,0
46,0,24,High School,White Collar,Programmer,38788,10.565866199424438,0
57,0,35,High School,White Collar,Programmer,36033,10.4921904642226,0
52,0,30,Some College,White Collar,Programmer,82294,11.318053479997815,0
65,0,40,Bachelor's,White Collar,Manager,25000,10.126631103850338,0
31,0,8,Master's,White Collar,Analyst,51572,10.850734168530728,1
50,0,28,PhD,White Collar,Programmer,100770,11.520595971274448,0
42,0,20,High School,White Collar,Analyst,84620,11.34592592427406,0
65,1,39,Master's,White Collar,Accountant,84207,11.341033332166788,0
30,1,8,Some College,Blue Collar,Mechanic,42005,10.645543937798948,0
30,0,2,High School,Blue Collar,Mechanic,41494,10.633304117453084,0
33,0,11,Master's,Blue Collar,Welder,100095,11.513875014005817,0
22,1,0,Bachelor's,Blue Collar,Construction Worker,79064,11.27801293005602,0
34,1,9,High School,Blue Collar,Manufacturing Worker,27076,10.206403005628498,0
31,1,6,Some College,White Collar,Programmer,44385,10.70065685350242,0
42,0,20,Some College,Blue Collar,Electrician,36554,10.506545898314387,0
44,1,17,Bachelor's,White Collar,Engineer,80004,11.28983191240606,0
63,1,39,Bachelor's,Blue Collar,Construction Worker,25000,10.126631103850338,0
51,1,29,PhD,Blue Collar,Electrician,99374,11.50664578901292,1
33,1,9,High School,Blue Collar,Electrician,48618,10.79174911168878,0
29,0,6,Some College,Blue Collar,Plumber,57456,10.958774716465864,0
46,0,24,Bachelor's,White Collar,Consultant,108661,11.595988223081756,0
24,1,2,Bachelor's,White Collar,Analyst,112614,11.631721320884305,0
62,1,40,Some College,Blue Collar,Plumber,39637,10.587518304449791,1
